asset_name,asset_type,value_usd,description,software,threat_name,threat_category,probability,vulnerability_score,mitigation_effectiveness,aro,exposure_factor,uncertainty,threat_level
Citizen Data Registry,Data,1500000,National identity and biometric records database,oracle,Nation-State Sponsored Data Breach,Adversarial,0.3,5,0.25,0.4,0.7,0.2,5
Citizen Data Registry,Data,1500000,National identity and biometric records database,oracle,Insider Data Exfiltration,Adversarial,0.2,5,0.3,0.3,0.65,0.2,5
Government Web Portal,Software,400000,Public-facing Apache portal for citizen e-services,apache,XSS Defacement Attack,Adversarial,0.5,4,0.35,1.5,0.25,0.1,4
Government Web Portal,Software,400000,Public-facing Apache portal for citizen e-services,apache,DDoS Politically Motivated Attack,Adversarial,0.55,3,0.4,1.0,0.35,0.15,4
Critical Infrastructure Control,Hardware,800000,Cisco SCADA network control for national power grid,cisco,APT Intrusion,Adversarial,0.25,5,0.2,0.3,0.8,0.2,5
Critical Infrastructure Control,Hardware,800000,Cisco SCADA network control for national power grid,cisco,Physical Sabotage of Network Equipment,Adversarial,0.15,4,0.3,0.2,0.7,0.25,4
Tax Processing System,Software,1200000,Mainframe platform for individual and corporate tax filings,mainframe,Mainframe Privilege Abuse,Adversarial,0.2,4,0.35,0.3,0.55,0.2,4
Tax Processing System,Software,1200000,Mainframe platform for individual and corporate tax filings,mainframe,Tax Fraud via System Manipulation,Adversarial,0.3,4,0.4,0.5,0.45,0.15,4
Staff Email and Collaboration,Software,250000,On-premises Exchange for ministerial email,exchange,Business Email Compromise,Adversarial,0.55,3,0.35,2.0,0.3,0.15,4
Staff Email and Collaboration,Software,250000,On-premises Exchange for ministerial email,exchange,Spear Phishing Targeting Ministers,Adversarial,0.45,4,0.35,1.2,0.25,0.15,5
Border Control Database,Data,900000,PostgreSQL database for travel history and visa records,linux,SQL Injection on Border System,Adversarial,0.4,5,0.3,0.7,0.5,0.15,5
Border Control Database,Data,900000,PostgreSQL database for travel history and visa records,linux,Watchlist Manipulation by Rogue Official,Adversarial,0.2,4,0.4,0.3,0.55,0.2,5
Emergency Response System,Software,600000,Windows platform for police and ambulance dispatch,windows,Ransomware Targeting Emergency Services,Adversarial,0.45,5,0.25,0.8,0.65,0.2,5
Emergency Response System,Software,600000,Windows platform for police and ambulance dispatch,windows,Communication Jamming Radio Interference,Environmental,0.2,3,0.3,0.3,0.5,0.25,3
Document Management System,Software,300000,SharePoint inter-agency classified document repository,sharepoint,Data Leakage via Misconfigured Permissions,Accidental,0.45,3,0.4,1.0,0.3,0.15,3
Document Management System,Software,300000,SharePoint inter-agency classified document repository,sharepoint,Malicious Document Upload with Macro,Adversarial,0.4,3,0.45,0.8,0.2,0.1,3
National PKI Infrastructure,Hardware,500000,HSMs and CA servers for national digital certificates,linux,Certificate Authority Compromise,Adversarial,0.15,5,0.25,0.2,0.85,0.2,5
National PKI Infrastructure,Hardware,500000,HSMs and CA servers for national digital certificates,linux,HSM Physical Tampering,Adversarial,0.1,4,0.35,0.1,0.75,0.25,4
